[Header]
SerCPU=3017AF212 (Not Relevent)
ID=STC_0001   (Not Relevent)
Info1=ab13   (Drill No)
Info2=ABC    (Project Name)
Info3=PALM    (Not Relevent)
Info4=AMMICO  (Client)
Info5=ghis     (Contractor)
Info6=V_FLOAT  (Machine ID)
LCI=0   (Not Relevent)
KL=0     (Not Relevent)
KV=0     (Not Relevent)
DM=400   (Not Relevent)
TIU=0    (Not Relevent)

[Parameter]
Datum;Tiefe;Ampere;P-Luft;P_Wasser;Gewicht;Load;Buckets;Gesamtmenge;X-Achse;Y-Achse;MTemp
0;m;A;bar;bar;to;to;0;m³;°;°;°C
(Dictionary:Datum=Date,Tiefe=Time,P-Luft=Pump Pressure,P-Wasser=Water Presure,Load=Load,Gesamtmenge=Total Quantity,X-Achse=X-angle,Y-Achse=Angle,Mtemp=Machine Temperature)

[DATA]
29.05.2018 9:36:00;-0.01;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:01;-0.01;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:02;-0.01;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:03;-0.01;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:04;-0.01;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:05;-0.01;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:06;-0.01;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:07;-0.01;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:08;-0.01;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:09;-0.01;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:10;-0.03;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:11;-0.03;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:12;-0.12;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:13;-0.23;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:14;-0.35;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:15;-0.41;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:16;-0.49;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:17;-0.65;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:18;-0.81;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:19;-0.96;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:20;-1.15;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:21;-1.37;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:22;-1.58;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:23;-1.80;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:24;-2.03;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:25;-2.27;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:26;-2.52;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:27;-2.72;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:28;-2.90;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:29;-3.07;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:30;-3.26;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:31;-3.43;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:32;-3.62;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:33;-3.89;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:34;-4.23;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:35;-4.51;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:36;-4.77;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:37;-5.04;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:38;-5.30;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:39;-5.58;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:40;-5.88;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:41;-6.20;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:42;-6.50;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:43;-6.78;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:44;-7.06;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:45;-7.31;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:46;-7.54;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:47;-7.77;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:48;-7.99;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:49;-8.23;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:50;-8.48;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:51;-8.71;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:52;-8.96;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:53;-9.20;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:54;-9.41;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:55;-9.60;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:56;-9.74;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:57;-9.63;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:58;-9.47;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:36:59;-9.28;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:00;-9.11;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:01;-8.96;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:02;-8.77;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:03;-8.52;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:04;-8.26;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:05;-8.03;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:06;-7.83;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:07;-7.93;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:08;-8.19;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:09;-8.42;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:10;-8.56;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:11;-8.36;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:12;-8.12;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:13;-7.88;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:14;-7.64;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:15;-7.41;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:16;-7.21;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:17;-6.98;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:18;-6.75;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:19;-6.55;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:20;-6.37;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:21;-6.26;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:22;-6.36;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:23;-6.62;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:24;-6.87;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:25;-7.11;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:26;-7.35;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:27;-7.52;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:28;-7.29;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:29;-7.05;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:30;-6.78;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:31;-6.52;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:32;-6.28;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:33;-6.02;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:34;-5.77;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:35;-5.50;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:36;-5.27;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:37;-5.47;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:38;-5.74;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:39;-6.01;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:40;-6.17;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:41;-5.94;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:42;-5.68;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:43;-5.43;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:44;-5.19;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:45;-4.95;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:46;-4.69;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:47;-4.46;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:48;-4.22;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:49;-4.14;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:50;-4.39;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:51;-4.66;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:52;-4.93;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:53;-5.15;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:54;-5.03;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:55;-4.78;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:56;-4.51;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:57;-4.26;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:58;-4.01;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:37:59;-3.74;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:00;-3.48;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:01;-3.21;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:02;-2.98;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:03;-3.11;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:04;-3.36;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:05;-3.63;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:06;-3.85;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:07;-3.71;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:08;-3.45;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:09;-3.15;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:10;-2.87;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:11;-2.58;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:12;-2.32;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:13;-2.07;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:14;-2.22;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:15;-2.48;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:16;-2.72;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:17;-2.76;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:18;-2.52;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:19;-2.25;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:20;-1.98;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:21;-1.71;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:22;-1.49;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:23;-1.60;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:24;-1.86;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:25;-1.93;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:26;-1.68;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:27;-1.42;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:28;-1.15;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:29;-0.94;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:30;-1.04;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:31;-1.24;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:32;-1.35;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:33;-1.10;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:34;-0.84;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:35;-0.58;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:36;-0.34;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:37;-0.24;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:38;-0.17;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:39;-0.09;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:40;-0.03;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:41;0.02;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:42;0.01;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:43;0.01;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:44;0.01;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:45;-0.01;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:46;-0.01;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:47;-0.01;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
29.05.2018 9:38:48;-0.01;0;0.0;0.0;0.00;1.50;0;0.00;-24.1;-20.7;-30.0
